Rodent,Total Parasites,Total Relationships,Range,Closeness Centrality
Abrocoma bennettii,18,59,142788.638,0.6
Abrocoma cinerea,2,16,44174.887,0.578313
Abrothrix andinus,2,17,136715.261,0.585366
Abrothrix lanosus,1,15,46542.045,0.571429
Abrothrix longipilis,35,148,387891.606,0.738462
Abrothrix manni,4,12,56667.211,0.457143
Abrothrix olivaceus,47,186,596948.834,0.786885
Abrothrix sanborni,5,38,5929.334,0.585366
Aconaemys fuscus,8,26,31689.59,0.571429
Aconaemys porteri,9,66,14289.336,0.676056
Aconaemys sagei,1,5,44186.622,0.461538
Akodon albiventer,3,19,43316.225,0.585366
Andinomys edax,3,5,6847.127,0.461538
Auliscomys boliviensis,1,4,6310.331,0.448598
Auliscomys sublimis,1,1,36738.338,0.40678
Cavia porcellus,1,1,,0.390244
Chelemys macronyx,8,54,196716.929,0.648649
Chinchillula sahamae,2,4,7291.62,0.448598
Ctenomys colburni,2,3,,0.45283
Ctenomys fulvus,2,1,80453.998,0.313725
Ctenomys magellanicus,4,12,108183.283,0.539326
Ctenomys maulinus,4,14,49006.627,0.564706
Ctenomys opimus,2,15,4506.047,0.578313
Ctenomys osgoodi,1,0,,0
Ctenomys robustus,3,4,,0.45283
Eligmodontia puerulus,2,1,57914.008,0.436364
Eligmodontia typus,1,5,3079.898,0.470588
Euneomys chinchilloides,4,4,53389.909,0.457143
Euneomys mordax,4,42,24394.525,0.623377
Geoxus valdivianus,13,65,236814.952,0.623377
Irenomys tarsalis,1,6,158587.02,0.466019
Lagidium viscacia,3,3,142225.548,0.440367
Loxodontomys micropus,15,93,284512.019,0.685714
Loxodontomys pikumche,3,27,61307.241,0.592593
Mus musculus,2,8,538970.111,0.489796
Myocastor coypus,1,5,455471.235,0.475248
Octodon bridgesi,5,24,122599.338,0.55814
Octodon degus,22,79,73955.58,0.666667
Octodon lunatus,4,13,29718.194,0.527473
Octodontomys gliroides,6,20,25879.888,0.615385
Octomys mimax,1,1,,0.403361
Oligoryzomys longicaudatus,30,135,546152.248,0.727273
Phyllotis darwini,27,127,151502.506,0.761905
Phyllotis magister,1,2,25504.875,0.448598
Phyllotis osgoodi,1,4,11617.293,0.448598
Phyllotis xanthopygus,15,79,158797.226,0.676056
Rattus norvegicus,14,33,,0.631579
Rattus rattus,21,101,,0.727273
Reithrodon auritus,9,72,81701.669,0.685714
Spalacopus cyanus,5,36,88855.025,0.607595